Time,Ground Truth,Estimation
2020-04-25 10:10:00,70,115
2020-04-25 10:10:10,70,123
2020-04-25 10:10:20,72,160
2020-04-25 10:10:30,69,123
2020-04-25 10:10:40,62,81
2020-04-25 10:10:50,55,51
2020-04-25 10:11:00,62,53
2020-04-25 10:11:10,52,53
2020-04-25 10:11:20,53,72
2020-04-25 10:11:30,51,61
2020-04-25 10:11:40,63,101
2020-04-25 10:11:50,63,80
2020-04-25 10:12:00,59,77
2020-04-25 10:12:10,62,104
2020-04-25 10:12:20,68,117
2020-04-25 10:12:30,74,120
2020-04-25 10:12:40,69,115
2020-04-25 10:12:50,64,115
2020-04-25 10:13:00,61,56
2020-04-25 10:13:10,66,91
2020-04-25 10:13:20,64,56
2020-04-25 10:13:30,63,85
2020-04-25 10:13:40,61,88
2020-04-25 10:13:50,67,112
2020-04-25 10:14:00,63,59
2020-04-25 10:14:10,62,69
2020-04-25 10:14:20,66,75
2020-04-25 10:14:30,62,128
2020-04-25 10:14:40,59,91
2020-04-25 10:14:50,56,80
2020-04-25 10:15:00,63,107
2020-04-25 10:15:10,60,88
2020-04-25 10:15:20,59,64
2020-04-25 10:15:30,57,56
2020-04-25 10:15:40,62,77
2020-04-25 10:15:50,67,75
2020-04-25 10:16:00,68,88
2020-04-25 10:16:10,63,117
2020-04-25 10:16:20,54,117
2020-04-25 10:16:30,58,91
2020-04-25 10:16:40,63,88
2020-04-25 10:16:50,58,77
2020-04-25 10:17:00,59,117
2020-04-25 10:17:10,54,56
2020-04-25 10:17:20,53,61
2020-04-25 10:17:30,58,120
2020-04-25 10:17:40,64,128
2020-04-25 10:17:50,71,123
2020-04-25 10:18:00,69,93
2020-04-25 10:18:10,69,80
2020-04-25 10:18:20,73,71
2020-04-25 10:18:30,68,97
2020-04-25 10:18:40,63,155
2020-04-25 10:18:50,54,184
2020-04-25 10:19:00,64,109
2020-04-25 10:19:10,66,92
2020-04-25 10:19:20,59,93
2020-04-25 10:19:30,57,93
2020-04-25 10:19:40,63,77
2020-04-25 10:19:50,61,99
2020-04-25 10:20:00,64,109
2020-04-25 10:20:10,56,51
2020-04-25 10:20:20,65,61
2020-04-25 10:20:30,74,59
2020-04-25 10:20:40,77,83
2020-04-25 10:20:50,71,91
2020-04-25 10:21:00,69,117
2020-04-25 10:21:10,60,123
2020-04-25 10:21:20,59,96
2020-04-25 10:21:30,57,61
2020-04-25 10:21:40,55,76
2020-04-25 10:21:50,58,69
2020-04-25 10:22:00,59,104
2020-04-25 10:22:10,70,125
2020-04-25 10:22:20,71,117
2020-04-25 10:22:30,71,101
2020-04-25 10:22:40,70,107
2020-04-25 10:22:50,62,69
2020-04-25 10:23:00,69,73
2020-04-25 10:23:10,69,67
2020-04-25 10:23:20,68,67
2020-04-25 10:23:30,57,61
2020-04-25 10:23:40,58,53
2020-04-25 10:23:50,53,53
2020-04-25 10:24:00,50,53
2020-04-25 10:24:10,52,53
2020-04-25 10:24:20,55,61
2020-04-25 10:24:30,56,60
2020-04-25 10:24:40,48,37
2020-04-25 10:24:50,44,48
2020-04-25 10:25:00,50,52
2020-04-25 10:25:10,52,83
2020-04-25 10:25:20,59,99
2020-04-25 10:25:30,59,157
2020-04-25 10:25:40,60,141
2020-04-25 10:25:50,57,125
2020-04-25 10:26:00,51,69
2020-04-25 10:26:10,56,61
2020-04-25 10:26:20,59,80
2020-04-25 10:26:30,70,80
2020-04-25 10:26:40,65,85
2020-04-25 10:26:50,66,115
2020-04-25 10:27:00,65,71
2020-04-25 10:27:10,75,117
2020-04-25 10:27:20,72,123
2020-04-25 10:27:30,73,128
2020-04-25 10:27:40,61,75
2020-04-25 10:27:50,62,104
2020-04-25 10:28:00,59,91
2020-04-25 10:28:10,59,93
2020-04-25 10:28:20,53,67
2020-04-25 10:28:30,54,53
2020-04-25 10:28:40,52,49
2020-04-25 10:28:50,60,59
2020-04-25 10:29:00,60,99
2020-04-25 10:29:10,66,93
2020-04-25 10:29:20,68,61
2020-04-25 10:29:30,59,99
2020-04-25 10:29:40,61,67
2020-04-25 10:29:50,55,85
2020-04-25 10:30:00,58,53
2020-04-25 10:30:10,61,56
2020-04-25 10:30:20,64,80
2020-04-25 10:30:30,67,80
2020-04-25 10:30:40,67,80
2020-04-25 10:30:50,69,77
2020-04-25 10:31:00,70,83
2020-04-25 10:31:10,65,72
2020-04-25 10:31:20,66,75
2020-04-25 10:31:30,68,117
2020-04-25 10:31:40,69,88
2020-04-25 10:31:50,66,75
2020-04-25 10:32:00,63,69
2020-04-25 10:32:10,59,53
2020-04-25 10:32:20,56,53
2020-04-25 10:32:30,54,53
2020-04-25 10:32:40,57,64
2020-04-25 10:32:50,57,48
2020-04-25 10:33:00,54,48
2020-04-25 10:33:10,62,61
2020-04-25 10:33:20,68,91
2020-04-25 10:33:30,71,109
2020-04-25 10:33:40,66,99
2020-04-25 10:33:50,58,96
2020-04-25 10:34:00,56,64
2020-04-25 10:34:10,61,71
2020-04-25 10:34:20,73,123
2020-04-25 10:34:30,65,112
2020-04-25 10:34:40,73,117
2020-04-25 10:34:50,71,101
2020-04-25 10:35:00,66,89
2020-04-25 10:35:10,62,99
2020-04-25 10:35:20,64,163
2020-04-25 10:35:30,67,163
2020-04-25 10:35:40,66,117
2020-04-25 10:35:50,63,107
2020-04-25 10:36:00,65,93
2020-04-25 10:36:10,69,125
2020-04-25 10:36:20,72,96
2020-04-25 10:36:30,63,85
2020-04-25 10:36:40,61,53
2020-04-25 10:36:50,55,56
2020-04-25 10:37:00,54,56
2020-04-25 10:37:10,51,69
2020-04-25 10:37:20,56,69
2020-04-25 10:37:30,58,69
2020-04-25 10:37:40,62,69
2020-04-25 10:37:50,54,43
2020-04-25 10:38:00,56,103
2020-04-25 10:38:10,60,101
